 2024-12-04	16:14:35	XNoDosimeter	RNoRod	+0.0000 mWC 

 2025-03-12	10:07:41	XA00071249E	R-16	1337 nonunits
 2025-03-25	09:51:49	XA001211621	R-14	1337 nonunits
 2025-04-08	09:31:52	XA00636841F	R-191	1337 nonunits
 2025-04-23	12:02:00	XA01353630M	R-234	1337 nonunits
 2025-04-23	12:45:57	XnoDosimeter	Rnorod	+0.0005 mWC 

 2025-05-07	09:36:12	XA01515520T	R-273	1337 nonunits
 2025-05-21	10:09:35	XA003777453	R-331	+0.0010 mWC 

 2025-06-17	11:26:42	XA00865108C	R-439	1337 nonunits
 2025-07-02	10:04:23	XA04105780J	R-498	1337 nonunits
