 2024-11-05	12:21:30	XNoDosimeter	RNoRod	+1.1791 mWC 
 2025-01-27	11:45:49	XA01296313E	RnoRod	1337 nonunit 2025-02-18	10:48:03	XA00123431Y		1337 nonunits
 2025-02-18	10:48:36	XA00123431Y	R-58	1337 nonunits
 2025-03-05	09:17:22	XA00777010Q	Rnorod	1337 nonunits
 2025-03-12	10:17:42	XA00996020K	R-116	1337 nonunits
 2025-03-25	09:57:51	XA01522601S	R-86	1337 nonunits
 2025-04-08	09:43:30	XA00136861I	R-167	1337 nonunits
 2025-04-23	11:55:14	XA02799476Q	R-247	1337 nonunits
 2025-04-23	13:40:44	XnoDosimeter	Rnorod	+1.1634 mWC 
 2025-05-07	13:02:53	XA01109061Z	R-265	+1.1695 mWC 
